17/05/2024 17:27:25 - Starting application
17/05/2024 17:27:25 - Defined date:17/05/2024 17:27:25
17/05/2024 17:28:06 - Starting application
17/05/2024 17:28:06 - Defined date:17/05/2024 17:28:06
17/05/2024 17:28:06 - Deleted: c:\users\essias.souza\\OneDrive - FleetCor\DEV\Tests\Test_Enviroment\month01
17/05/2024 17:28:08 - Deleted: c:\users\essias.souza\\OneDrive - FleetCor\DEV\Tests\Test_Enviroment\month02
17/05/2024 17:28:10 - Deleted: c:\users\essias.souza\\OneDrive - FleetCor\DEV\Tests\Test_Enviroment\month03
17/05/2024 17:28:12 - Deleted: c:\users\essias.souza\\OneDrive - FleetCor\DEV\Tests\Test_Enviroment\month04
17/05/2024 17:28:14 - End of purge process.
17/05/2024 17:28:22 - Deleted: c:\users\essias.souza\\OneDrive - FleetCor\DEV\Tests\Test_Enviroment\month05\day_01
17/05/2024 17:28:24 - Deleted: c:\users\essias.souza\\OneDrive - FleetCor\DEV\Tests\Test_Enviroment\month05\day_02
17/05/2024 17:28:26 - Deleted: c:\users\essias.souza\\OneDrive - FleetCor\DEV\Tests\Test_Enviroment\month05\day_03
17/05/2024 17:28:28 - Deleted: c:\users\essias.souza\\OneDrive - FleetCor\DEV\Tests\Test_Enviroment\month05\day_04
17/05/2024 17:28:30 - Deleted: c:\users\essias.souza\\OneDrive - FleetCor\DEV\Tests\Test_Enviroment\month05\day_05
17/05/2024 17:28:32 - Deleted: c:\users\essias.souza\\OneDrive - FleetCor\DEV\Tests\Test_Enviroment\month05\day_06
17/05/2024 17:28:34 - Deleted: c:\users\essias.souza\\OneDrive - FleetCor\DEV\Tests\Test_Enviroment\month05\day_07
17/05/2024 17:28:36 - Deleted: c:\users\essias.souza\\OneDrive - FleetCor\DEV\Tests\Test_Enviroment\month05\day_08
17/05/2024 17:28:38 - Deleted: c:\users\essias.souza\\OneDrive - FleetCor\DEV\Tests\Test_Enviroment\month05\day_09
17/05/2024 17:28:40 - Deleted: c:\users\essias.souza\\OneDrive - FleetCor\DEV\Tests\Test_Enviroment\month05\day_10
17/05/2024 17:28:42 - End of purge process.
17/05/2024 17:28:44 - End of purge process.
17/05/2024 17:28:46 - End of purge process.
17/05/2024 17:28:48 - End of purge process.
17/05/2024 17:28:50 - End of purge process.
17/05/2024 17:28:52 - End of purge process.
17/05/2024 17:28:54 - End of purge process.
17/05/2024 17:28:56 - End of purge process.
17/05/2024 17:28:56 - Process finished.
